Name;Taille vis;PartNumber;diametre_interieur;diametre_exterieur;epaisseur;diametreInterieur;hauteur;largeur;diametreExterieur;diametreVis;Longueur;LongueurFiletee;largeurTete;hauteurTete;pas;diametreTete;LargeurEmpreinte
;;;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur;Longueur
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
TabledeparamétrageRondelle;;;;;;;;;;;;;;;;;
rondelle_M6;6;rondelle_M6;0,0064 m;0,012 m;1,6e-006 m;;;;;;;;;;;;
rondelle_M12;12;rondelle_M12;0,013 m;0,024 m;2,5e-006 m;;;;;;;;;;;;
rondelle_M3;3;rondelle_M3;0,0032 m;0,007 m;5e-007 m;;;;;;;;;;;;
rondelle_M5;5;rondelle_M5;0,0053 m;0,01 m;1e-006 m;;;;;;;;;;;;
rondelle_M10;10;rondelle_M10;0,0105 m;0,02 m;2e-006 m;;;;;;;;;;;;
rondelle_M8;8;rondelle_M8;0,0084 m;0,016 m;1,6e-006 m;;;;;;;;;;;;
rondelle_M2;2;rondelle_M2;0,0022 m;0,005 m;3e-007 m;;;;;;;;;;;;
rondelle_M16;16;rondelle_M16;0,017 m;0,03 m;3e-006 m;;;;;;;;;;;;
rondelle_M4;4;rondelle_M4;0,0043 m;0,009 m;8e-007 m;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tabledeparamétrage.rondelleLarge;;;;;;;;;;;;;;;;;
rondelle_M6_L;6;rondelle_M6_L;0,0064 m;0,018 m;0,0016 m;;;;;;;;;;;;
rondelle_M10_L;10;rondelle_M10_L;0,0105 m;0,03 m;0,0025 m;;;;;;;;;;;;
rondelle_M5_L;5;rondelle_M5_L;0,0053 m;0,015 m;0,0012 m;;;;;;;;;;;;
rondelle_M3_L;3;rondelle_M3_L;0,0032 m;0,009 m;0,0008 m;;;;;;;;;;;;
rondelle_M16_L;16;rondelle_M16_L;0,017 m;0,05 m;0,003 m;;;;;;;;;;;;
rondelle_M8_L;8;rondelle_M8_L;0,0084 m;0,024 m;0,002 m;;;;;;;;;;;;
rondelle_M4_L;4;rondelle_M4_L;0,0043 m;0,012 m;0,001 m;;;;;;;;;;;;
rondelle_M2_L;2;rondelle_M2_L;0,0022 m;0,006 m;0,0005 m;;;;;;;;;;;;
rondelle_M12_L;12;rondelle_M12_L;0,013 m;0,037 m;0,003 m;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tabledeparamétrage.Ecrou;;;;;;;;;;;;;;;;;
ecrou_M10;10;ecrou_M10;;;;0,01 m;0,0084 m;0,016 m;;;;;;;;;
ecrou_M4;4;ecrou_M4;;;;0,004 m;0,0032 m;0,007 m;;;;;;;;;
ecrou_M5;5;ecrou_M5;;;;0,005 m;0,0047 m;0,008 m;;;;;;;;;
ecrou_M8;8;ecrou_M8;;;;0,008 m;0,0068 m;0,013 m;;;;;;;;;
ecrou_M3;3;ecrou_M3;;;;0,003 m;0,0024 m;0,0055 m;;;;;;;;;
ecrou_M16;16;ecrou_M16;;;;0,016 m;0,0148 m;0,024 m;;;;;;;;;
ecrou_M6;6;ecrou_M6;;;;0,006 m;0,0052 m;0,01 m;;;;;;;;;
ecrou_M2;2;ecrou_M2;;;;0,002 m;0,0016 m;0,004 m;;;;;;;;;
ecrou_M12;12;ecrou_M12;;;;0,012 m;0,0108 m;0,018 m;;;;;;;;;
;;;;;;;;;;;;;;;;;
Tabledeparamétrage.1;;;;;;;;;;;;;;;;;
ecrou_M6_NS;6;ecrou_M6_NS;;;;0,006 m;0,008 m;0,01 m;0,0111 m;;;;;;;;
ecrou_M4_NS;4;ecrou_M4_NS;;;;0,004 m;0,006 m;0,007 m;0,0076 m;;;;;;;;
ecrou_M16_NS;16;ecrou_M16_NS;;;;0,016 m;0,0191 m;0,024 m;0,0268 m;;;;;;;;
ecrou_M5_NS;5;ecrou_M5_NS;;;;0,005 m;0,0068 m;0,008 m;0,0088 m;;;;;;;;
ecrou_M3_NS;3;ecrou_M3_NS;;;;0,003 m;0,0045 m;0,0055 m;0,006 m;;;;;;;;
ecrou_M12_NS;12;ecrou_M12_NS;;;;0,012 m;0,0149 m;0,018 m;0,02 m;;;;;;;;
ecrou_M2_NS;2;ecrou_M2_NS;;;;0,002 m;0,0016 m;0,004 m;0,0044 m;;;;;;;;
ecrou_M10_NS;10;ecrou_M10_NS;;;;0,01 m;0,0119 m;0,016 m;0,0178 m;;;;;;;;
ecrou_M8_NS;8;ecrou_M8_NS;;;;0,008 m;0,0095 m;0,013 m;0,0144 m;;;;;;;;
;;;;;;;;;;;;;;;;;
Tabledeparamétrage.VisHexa;;;;;;;;;;;;;;;;;
5*35;;5*35;;;;;;;;0,005 m;0,035 m;0,016 m;0,008 m;0,0035 m;0,0008 m;;
8*25;;8*25;;;;;;;;0,008 m;0,025 m;0,025 m;0,013 m;0,0053 m;0,00125 m;;
12*50;;12*50;;;;;;;;0,012 m;0,05 m;0,03 m;0,018 m;0,0075 m;0,00175 m;;
4*8;;4*8;;;;;;;;0,004 m;0,008 m;0,008 m;0,007 m;0,0028 m;0,0007 m;;
6*40;;6*40;;;;;;;;0,006 m;0,04 m;0,018 m;0,01 m;0,004 m;0,001 m;;
8*75;;8*75;;;;;;;;0,008 m;0,075 m;0,022 m;0,013 m;0,0053 m;0,00125 m;;
6*16;;6*16;;;;;;;;0,006 m;0,016 m;0,016 m;0,01 m;0,004 m;0,001 m;;
4*16;;4*16;;;;;;;;0,004 m;0,016 m;0,016 m;0,007 m;0,0028 m;0,0007 m;;
16*100;;16*100;;;;;;;;0,016 m;0,1 m;0,038 m;0,024 m;0,01 m;0,002 m;;
6*55;;6*55;;;;;;;;0,006 m;0,055 m;0,018 m;0,01 m;0,004 m;0,001 m;;
10*25;;10*25;;;;;;;;0,01 m;0,025 m;0,025 m;0,016 m;0,0064 m;0,0015 m;;
