Name;PartNumber;diametreVis;Longueur;LongueurFiletee;largeurTete;hauteurTete;pas
5*35;5*35;0,005 m;0,035 m;0,016 m;0,008 m;0,0035 m;0,0008 m
8*25;8*25;0,008 m;0,025 m;0,025 m;0,013 m;0,0053 m;0,00125 m
12*50;12*50;0,012 m;0,05 m;0,03 m;0,018 m;0,0075 m;0,00175 m
4*8;4*8;0,004 m;0,008 m;0,008 m;0,007 m;0,0028 m;0,0007 m
6*40;6*40;0,006 m;0,04 m;0,018 m;0,01 m;0,004 m;0,001 m
8*75;8*75;0,008 m;0,075 m;0,022 m;0,013 m;0,0053 m;0,00125 m
6*16;6*16;0,006 m;0,016 m;0,016 m;0,01 m;0,004 m;0,001 m
4*16;4*16;0,004 m;0,016 m;0,016 m;0,007 m;0,0028 m;0,0007 m
16*100;16*100;0,016 m;0,1 m;0,038 m;0,024 m;0,01 m;0,002 m
6*55;6*55;0,006 m;0,055 m;0,018 m;0,01 m;0,004 m;0,001 m
10*25;10*25;0,01 m;0,025 m;0,025 m;0,016 m;0,0064 m;0,0015 m
2*5;2*5;0,002 m;0,005 m;0,005 m;0,004 m;0,0014 m;0,0004 m
16*200;16*200;0,016 m;0,2 m;0,2 m;0,024 m;0,01 m;0,002 m
6*30;6*30;0,006 m;0,03 m;0,018 m;0,01 m;0,004 m;0,001 m
2*8;2*8;0,002 m;0,008 m;0,008 m;0,004 m;0,0014 m;0,0004 m
10*75;10*75;0,01 m;0,075 m;0,026 m;0,016 m;0,0064 m;0,0015 m
5*40;5*40;0,005 m;0,04 m;0,016 m;0,008 m;0,0035 m;0,0008 m
8*30;8*30;0,008 m;0,03 m;0,03 m;0,013 m;0,0053 m;0,00125 m
4*10;4*10;0,004 m;0,01 m;0,01 m;0,007 m;0,0028 m;0,0007 m
5*10;5*10;0,005 m;0,01 m;0,01 m;0,008 m;0,0035 m;0,0008 m
6*45;6*45;0,006 m;0,045 m;0,018 m;0,01 m;0,004 m;0,001 m
3*10;3*10;0,003 m;0,01 m;0,01 m;0,0055 m;0,002 m;0,0005 m
16*160;16*160;0,016 m;0,16 m;0,044 m;0,024 m;0,01 m;0,002 m
12*90;12*90;0,012 m;0,09 m;0,03 m;0,018 m;0,0075 m;0,00175 m
